title,release_date,runtime,original_language,overview,poster_path,genres,production_companies,production_countries,spoken_languages,keywords
Chand Bujh Gaya,18-03-2005,116,hi,"Rahul Mehta lives a wealthy lifestyle along with his widower dad, Tusshar, in Mumbai, and comes from a business family. His father has arranged his marriage with Meghna, who also lives a wealthy lifestyle along with her parents, who approve of Rahul. But when Meghna finds out that Rahul really loves Saveen, the daughter of Imran Jafri from Ahmedabad, she decides to step aside and let the lovers be together. Rahul offers to escort Saveen back home by Sabarmati Express with her dad's permission. At Godhra railway station, their train is set afire by Islamic extremists, and they take shelter at Payal's, a journalist with NTA, who is the girlfriend of Rahul's friend, Adarsh, also a journalist. It is here that differences will arise between Rahul and Saveen - differences that may end their romance and change their lives forever.",/kbMNVpn2Tk6GLcUr2uIKV3D9lf1.jpg,,,,Hindi,
Faactory,03-09-2021,0,hi,An obsessive lover kidnaps a woman and forces her to fall for him.,/7LPljbh88U3ZUGWJzR8nUTlQYhq.jpg,"Action, Crime, Drama, Romance, Thriller",,,Hindi,
Delhi minus Umar Khalid,02-03-2024,27,hi,"In light of jailed activist Umar Khalid withdrawing his petition from the Supreme Court amid repeated adjournments, journalist Ravish Kumar captures the contours of Delhi in a video letter addressed to him. What comes out is a critical piece reflecting on the cowardice and the deafening silence of Delhi on the whole matter.",,Documentary,,,Hindi,"political activism, activism, indian politics, umar khalid, indian society, independent journalism"
Tit for Tat,05-06-2020,0,hi,,/xHYdOg32w6Tm619c1HgVf8j36Fw.jpg,,Gupchup,India,Hindi,
Call Girl,24-10-2020,0,hi,,/9JWS3pm0KRNFBZUPp9egPK3ehcM.jpg,,The CinemaDosti,India,Hindi,
Naiyya,14-07-1979,116,hi,"Lakhipur is a small community along the river bank of Ganga, where Sonu lives with his ailing mother. One day he rescues a woman named Geeta and brings her home with him. He and his mom look after her while she recuperates and find out that she comes from a wealthy family. When she gets better, he takes her home, only to find out that she is no longer welcome there by her paternal uncle and his wife, Ramkali.",/8vrtJQgnpZGNYmE9XRI2gYl8MFo.jpg,"Drama, Family, Romance",,India,Hindi,
Rohingya,,107,hi,"Rohingya ü?ùpeople from nowhere"" is a Hindi language film. This film is based on a true story, interwoven with a fictional poignant love story between a Rohingya girl and an Indian Special Forces Officer. It focuses on the peril, uncertainty, betrayal and misery of life in the Rohingya refugee camp, alongwith fast-paced military actio",/mobBTkJ6dvDWiyNwVTXl946mG3p.jpg,"Action, Adventure, Documentary",,,Hindi,
Burans: Journey to a friendship,,0,hi,,,,Mazdoori Movies,India,,
Saanjh,14-04-2017,109,hi,"Saanjh marks the debut of Producer and Director, Ajay K Saklani, who, through this movie attempts to bring to the fore the lesser known Himachali language and tries to revive the almost forgotten Tankri Script. Saanjh is the first feature film to have been made and released in the Western Himalayan/ Pahari language. The serenity of village life amidst the Himalayas reaches the peak of sublimity as the visual tour is accompanied by some of the most melodious songs rendered by Mohit Chauhan and Pavithra Chari which strike the heart strings of even those who are unfamiliar with the Pahari dialect. The movie provides a perfect audio-visual setting for a beautiful confluence of the emotional journeys of a daughter, a mother and an orphaned boy as the sun sets on their lives and dusk sets in. Saanjh was the first film in Himachali dialect to be released in cinema halls across India.",/nvvg2mnpZ0ijguv2yUg1gvi21Jv.jpg,"Drama, Family, Music",Enoxx Entertainment,,Hindi,
Googly Gumm Hai,02-07-2021,80,hi,"Googly, a carefree young woman and her lover, Shorya, take a romantic trip to Dharamshala. At the airport they are received by their tour-guide, Ranga, who appears to be somewhat disturbed upon hearing Googlyü??s name. An incomprehensible sadness betrays Rangaü??s cool demeanor. Googly is awestruck by the beauty of sunset amidst the snow-capped mountains and is inspired to go hiking.  Shorya, though initially reluctant, finally yields. They set out on their trek and the appalling beauty of the mountains overwhelms them. In a moment of romantic fervour, Shorya slips and falls off the cliff and gets stuck on a crest at the edge of a steep fall. Hereafter, the movie follows Googly and Ranga on their individual rescue missions-- Googlyü??s to save Shorya and Rangaü??s to find Googly. And amidst all this, flitting on and off the screen, is a ghastly figure in the cave whom Shorya dismisses as a figment of his own imagination",/jVAsTURjPoQPyE3KxTWqyeniXDq.jpg,"Adventure, Thriller, Romance, Mystery",Enoxx Entertainment,India,Hindi,"indie film, new bollywood film, hindi film, adventure movies"
Aurat,02-01-1940,154,hi,"Radha is a resolute mother, who strives hard against poverty and a lecherous money lender to feed her two sons who grew up with contrasting temperament.",/xcNGQ2AiqplmseDpi94xWZEVj3P.jpg,Drama,National Studios,India,Hindi,"black and white, family"
Ghar Sansar,11-07-1986,144,hi,"Girdharilal (Kader Khan) is a very rich and wealthy man. He has made a number of enemies. One of his enemies asks a beggar to masquerade as Girdharilal for a price, to which the beggar agrees. The switch takes place, with the real Girdharilal being abducted. A series of hilarious and comical events take turn as the beggar attempts to pretend to be a rich, left-handed tycoon.",/ckJXAE59ZqRkisp0luLSdr0ZC1N.jpg,"Drama, Family, Comedy",,,,
Yakeen,31-12-1969,150,hi,"Rajesh Sharma, working with the Indian Government on a top secret research project, has to deal with enemy agents, explosions, murder and last but not least a dangerous look-alike.",/5D1ExPgXZUrfHGmgzUp2bjokkTl.jpg,"Mystery, Action, Crime, Romance, Thriller",,India,Hindi,"secret agent, intelligence agency, secret service"
